Sl. No.,State/UT,IPC Crimes-2019,IPC Crimes-2020,IPC Crimes-2021,SLL Crimes-2019,SLL Crimes-2020,SLL Crimes-2021
1,Andhra Pradesh,227.9,359.3,339.9,50.7,93.4,80.6
2,Arunachal Pradesh,171.9,147.4,170.9,19,17,26.9
3,Assam,358.9,320.6,341,26.9,28.9,38
4,Bihar,164.8,159.7,150.4,59.3,51.5,77.7
5,Chhattisgarh,212.3,223.1,238.2,122.4,129.8,135.5
6,Goa,159.8,218.5,134.5,81.8,62.7,57.1
7,Gujarat,204.4,552,389.7,427.2,459.4,654.6
8,Haryana,386.4,353.5,380.8,191,305.1,316.5
9,Himachal Pradesh,197.9,201.1,176.1,74.4,79.1,78.2
11,Jharkhand,133.2,133.9,123.4,32.4,32.9,33.9
12,Karnataka,182.1,159.9,172.8,66,65.8,71.6
13,Kerala,499.7,421.6,401.4,788,1146.9,1075.8
14,Madhya Pradesh,298.3,338.9,358.3,180.5,172.1,202.5
15,Maharashtra,278.4,318.6,294.3,137.4,117.2,139.1
16,Manipur,91,74.8,78.3,26.7,20.3,22.7
17,Meghalaya,96.7,88,81.1,23.9,26.7,22.9
18,Mizoram,199.1,148.1,202.4,41.9,41.6,59.8
19,Nagaland,51.8,46.9,47,25.2,22.5,20.2
20,Odisha,219.6,238.7,272.9,58.3,56.5,66.5
21,Punjab,149.3,165.2,152.8,94.1,109.4,89.2
22,Rajasthan,290.3,245.9,269.6,101.9,85.4,88
23,Sikkim,95,75,78.5,28.4,25.4,28.9
24,Tamil Nadu,221.8,1170.7,422.1,378.5,638,567.3
25,Telangana,317.4,362,386.9,34.6,31,33.6
26,Tripura,133.3,99.2,101.3,16.3,15.9,16
27,Uttar Pradesh,156.3,155.1,154.5,121.9,132.3,108
28,Uttarakhand,108,122.1,137.3,144.7,384.7,167.6
29,West Bengal,162.2,161.7,160.2,31.5,24.9,24.7
Total States,Total States,220.5,301.8,251.2,145,176.6,181.6
30,Andaman and Nicobar Islands,141.7,120.8,96.3,871.9,516.3,235.9
31,Chandigarh,238.1,215.6,198.1,143.5,56,49
32,Dadra and Nagar Haveli and Daman and Diu,56,42.5,44.2,11.4,8.9,8
33,Delhi,1501.9,1226.4,1410,84.2,83.1,70
34,Jammu and Kashmir,165.6,189.2,204.2,22.2,27.6,31.5
35,Ladakh,NA,130.7,174.2,NA,5.4,13.4
36,Lakshadweep,180.9,157.4,130.9,86.8,58.8,57.4
37,Puducherry,209,434.2,243.1,55.2,78.4,47
Total Uts,Total Uts,1366.5,746.3,842.7,107.8,64.5,54.5
Total All India,Total All India,241.1,314.3,268,144.3,173.4,178
