Sl. No.,States/UT,2019-20,2020-21,2021-22
1,Andhra Pradesh,5.1,4.4,4.6
2,Arunachal Pradesh,7,6,8.1
3,Assam,8.3,4.3,4.1
4,Bihar,5.7,5.1,6.5
5,Chhattisgarh,3.5,2.7,2.6
6,Delhi,9,6.4,5.4
7,Goa,8.5,11.1,12.4
8,Gujarat,2.2,2.3,2.1
9,Haryana,6.7,6.6,9.3
10,Himachal Pradesh,4.2,3.8,4.6
11,Jharkhand,4.6,3.4,2.2
12,Karnataka,4.6,2.9,3.4
13,Kerala,11.6,11.6,11.2
14,Madhya Pradesh,3.2,2.1,2.2
15,Maharashtra,3.5,4.1,3.8
16,Manipur,10.1,5.9,9.6
17,Meghalaya,2.8,1.8,2.7
18,Mizoram,6,3.8,5.7
19,Nagaland,27.8,20.8,9.7
20,Odisha,6.7,5.9,6.5
21,Punjab,7.8,6.7,7
22,Rajasthan,5,5.2,5.1
23,Sikkim,2.4,1.2,1.7
24,Tamil Nadu,5.9,5.8,5.3
25,Telangana,7.5,5.1,4.5
26,Tripura,3.5,3.6,3.2
27,Uttarakhand,7.7,7.5,8.4
28,Uttar Pradesh,4.8,4.6,3.2
29,West Bengal,5,3.8,3.8
30,Andaman and Nicobar Islands,13,9.6,8
31,Chandigarh,6.2,7.3,6.5
32,Dadra and Nagar Haveli,3.1,4.3,5.4
33,Daman and Diu,2.9,NA,NA
34,Jammu and Kashmir,7.2,6.4,5.7
35,Ladakh,0.1,3,3.8
36,Lakshadweep,14,13.6,17.4
37,Puducherry,8.1,7.1,6.2
All India,All India,5.2,4.6,4.4
