Sl. No.,State Name,2017-18,2018-19,2019-20,2020-21,2021-22
1,ANDHRA PRADESH,2952,1752,2063,6878,15295
2,A& N ISLANDS,0,0,0,0,0
3,ARUNACHAL PRADESH,0,0,0,345,30
4,ASSAM,2952,9807,13328,15995,25986
5,BIHAR,2952,1599,1444,1414,1481
6,CHANDIGARH,0,0,0,842,997
7,CHATTISGARH,369,195,721,6058,15151
8,D&N HAVELI,0,0,0,0,0
9,DAMAN & DIU(ONLY DAMAN),0,0,0,165,151
10,DELHI,1476,2394,2238,12993,17019
11,GOA,0,0,0,0,0
12,GUJARAT,1476,1248,1608,1289,1374
13,HARYANA,1845,2664,3251,5692,6940
14,HIMACHAL PRADESH,369,308,657,727,12619
15,JAMMU AND KASHMIR,0,179,247,1509,4032
16,JHARKHAND,0,0,164,170,195
17,KARNATAKA,1845,5866,7602,7153,6697
18,KERALA,6642,3892,4134,4239,4887
19,LAKSHADWEEP,0,0,0,0,0
20,LADAKH,0,0,0,0,0
21,MADHYA PRADESH,4059,2908,3498,43993,48929
22,MAHARASHTRA,21771,10465,14195,9273,8070
23,MANIPUR,8487,5733,5075,7974,8598
24,MEGHALAYA,369,214,241,297,81
25,MIZORAM,3321,2122,1983,1862,1737
26,NAGALAND,1476,548,1231,1313,1328
27,ORISSA,12546,6647,7114,24497,31931
28,PUDUCHERRY,369,356,362,365,481
29,PUNJAB,2214,1865,2048,10534,9555
30,RAJASTHAN,4797,2453,4278,10117,22103
31,SIKKIM,0,116,231,194,163
32,TAMIL NADU,7011,4814,4936,3320,3769
33,TELANGANA,1845,1144,1952,5924,6620
34,TRIPURA,0,0,0,614,669
35,UTTAR PRADESH,6642,5504,5888,14295,16503
36,UTTARAKHAND,1107,1549,1457,1256,4529
37,WEST BENGAL,1845,1137,1418,7118,7639
Total Beneficiaries of NAPDDR,100737,77479,93364,208415,285559
