Sl. No.,State Name,2017-18,2018-19,2019-20,2020-21,2021-22
1,Andhra Pradesh,2952,1752,2063,6878,15295
2,Andaman & Nicobar Island,0,0,0,0,0
3,Arunanchal Pradesh,0,0,0,345,30
4,Assam,2952,9807,13328,15995,25986
5,Bihar,2952,1599,1444,1414,1481
6,Chandigarh,0,0,0,842,997
7,Chhattisgarh,369,195,721,6058,15151
8,Dadara & Nagar Havelli,0,0,0,0,0
9,Daman & Diu,0,0,0,165,151
10,NCT of Delhi,1476,2394,2238,12993,17019
11,Goa,0,0,0,0,0
12,Gujarat,1476,1248,1608,1289,1374
13,Haryana,1845,2664,3251,5692,6940
14,Himachal Pradesh,369,308,657,727,12619
15,Jammu & Kashmir,0,179,247,1509,4032
16,Jharkhand,0,0,164,170,195
17,Karnataka,1845,5866,7602,7153,6697
18,Kerala,6642,3892,4134,4239,4887
19,Lakshadweep,0,0,0,0,0
20,LADAKH,0,0,0,0,0
21,Madhya Pradesh,4059,2908,3498,43993,48929
22,Maharashtra,21771,10465,14195,9273,8070
23,Manipur,8487,5733,5075,7974,8598
24,Meghalaya,369,214,241,297,81
25,Mizoram,3321,2122,1983,1862,1737
26,Nagaland,1476,548,1231,1313,1328
27,Odisha,12546,6647,7114,24497,31931
28,Puducherry,369,356,362,365,481
29,Punjab,2214,1865,2048,10534,9555
30,Rajasthan,4797,2453,4278,10117,22103
31,Sikkim,0,116,231,194,163
32,Tamil Nadu,7011,4814,4936,3320,3769
33,Telangana,1845,1144,1952,5924,6620
34,Tripura,0,0,0,614,669
35,Uttar Pradesh,6642,5504,5888,14295,16503
36,Uttarakhand,1107,1549,1457,1256,4529
37,West Bengal,1845,1137,1418,7118,7639
Total Beneficiaries of NAPDDR,100737,77479,93364,208415,285559,
