Sl. No.,State Name,2017-18,2018-19,2019-20,2020-21,2021-22,,Area,,,,,,
1,Andhra Pradesh,2952,1752,2063,6878,15295,,"1,62,975",,,,,,
2,Andaman & Nicobar Island,0,0,0,0,0,,"8,249",,,,,,
3,Arunanchal Pradesh,0,0,0,345,30,,"83,743",,,,,,
4,Assam,2952,9807,13328,15995,25986,,"78,438",,,,,,
5,Bihar,2952,1599,1444,1414,1481,,"94,163",,,,,,
6,Chandigarh,0,0,0,842,997,,114,,,,,,
7,Chhattisgarh,369,195,721,6058,15151,,"1,35,192",,,,,,
8,Dadara & Nagar Havelli,0,0,0,0,0,,1,,,,,,
9,Daman & Diu,0,0,0,165,151,,603,,,,,,
10,NCT of Delhi,1476,2394,2238,12993,17019,,"1,484",,,,,,
11,Goa,0,0,0,0,0,,"3,702",,,,,,
12,Gujarat,1476,1248,1608,1289,1374,,"1,96,024",,,,,,
13,Haryana,1845,2664,3251,5692,6940,,"44,212",,,,,,
14,Himachal Pradesh,369,308,657,727,12619,,"55,673",,,,,,
15,Jammu & Kashmir,0,179,247,1509,4032,,"42,241",,,,,,
16,Jharkhand,0,0,164,170,195,,"79,714",,,,,,
17,Karnataka,1845,5866,7602,7153,6697,,"1,91,791",,,,,,
18,Kerala,6642,3892,4134,4239,4887,,"38,863",,,,,,
19,Lakshadweep,0,0,0,0,0,,32,,,,,,
20,LADAKH,0,0,0,0,0,,"59,146",,,,,,
21,Madhya Pradesh,4059,2908,3498,43993,48929,,"3,08,252",,,,,,
22,Maharashtra,21771,10465,14195,9273,8070,,"3,07,713",,,,,,
23,Manipur,8487,5733,5075,7974,8598,,"22,327",,,,,,
24,Meghalaya,369,214,241,297,81,,"22,429",,,,,,
25,Mizoram,3321,2122,1983,1862,1737,,"21,081",,,,,,
26,Nagaland,1476,548,1231,1313,1328,,"16,579",,,,,,
27,Odisha,12546,6647,7114,24497,31931,,"1,55,707",,,,,,
28,Puducherry,369,356,362,365,481,,479,,,,,,
29,Punjab,2214,1865,2048,10534,9555,,"3,42,239",,,,,,
30,Rajasthan,4797,2453,4278,10117,22103,,"3,42,239",,,,,,
31,Sikkim,0,116,231,194,163,,"7,096",,,,,,
32,Tamil Nadu,7011,4814,4936,3320,3769,,"1,30,058",,,,,,
33,Telangana,1845,1144,1952,5924,6620,,"1,12,077",,,,,,
34,Tripura,0,0,0,614,669,,"10,486",,,,,,
35,Uttar Pradesh,6642,5504,5888,14295,16503,,"2,40,928",,,,,,
36,Uttarakhand,1107,1549,1457,1256,4529,,"53,483",,,,,,
37,West Bengal,1845,1137,1418,7118,7639,,"88,752",,,,,,
